what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1346264040274
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1346264040274
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1346264040274
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1346264040274
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1346264040274
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1346264040274
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1346264040274
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1346264040275
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1346264040275
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1346264040275
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1346264040275
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1346264040275
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1346264040275
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1346264040275
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1346264040275
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1346264040275
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1346264040276
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1346264040276
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1346264040276
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1346264040276
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1346264040276
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1346264040276
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1346264040276
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1346264040276
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1346264040276
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1346264040277
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1346264040277
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1346264040278
started,bundle,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui",1346264040278
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1346264040278
os,sysinfo,,,"win32",1346264040289
arch,sysinfo,,,"x86_64",1346264040289
ws,sysinfo,,,"win32",1346264040289
locale,sysinfo,,,"lv_LV",1346264040289
processors,sysinfo,,,"2",1346264040290
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346264040290
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1346264040290
java.specification.name,sysinfo,,,"Java Platform API Specification",1346264040290
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346264040290
java.specification.version,sysinfo,,,"1.6",1346264040290
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1346264040290
java.version,sysinfo,,,"1.6.0_32",1346264040290
java.vm.info,sysinfo,,,"mixed mode",1346264040290
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1346264040290
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346264040290
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346264040290
java.vm.specification.version,sysinfo,,,"1.0",1346264040290
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1346264040290
java.vm.version,sysinfo,,,"20.7-b02",1346264040290
